video_id,execution_date,channel_id,channel_name,title,content_format,views_delta,engagement_rate,comment_rate,video_age_days,duration_bucket,alpha_score,opportunity_score,trend_burst_score,evergreen_score,packaging_problem_score,metric_confidence_score,channel_momentum_score,channel_relative_success_score,title_length_chars,has_number,has_question,has_ai_word,has_finance_word,metadata_changed
Qqwn4rzZ-Dk,2026-05-18T12:49:30.314781+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,Is There Life on Venus?,shorts,374884.0,0.03869,0.000329,2.924112,short,77.852446,79.049308,64.732138,,13.739693,91.25,92.307692,87.68526,23.0,False,True,False,False,False
Yztdy5_sdrk,2026-05-18T12:49:30.314781+00:00,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,I WENT SWIMMING WITH SHARKS!! 😳🦈,shorts,347092.0,0.02686,0.00044,5.908673,short,66.139706,62.262504,56.720562,,4.238339,46.0,36.057692,63.325249,32.0,False,False,False,False,False
NnvIwG0S8WE,2026-05-18T12:49:30.314781+00:00,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,Tennis Ball Cannon vs Human Strength,shorts,307278.0,0.018408,2.4e-05,3.992203,short,63.828953,59.201105,67.989031,,0.0,68.5,96.634615,63.244409,36.0,False,False,False,False,False
oGTO67JoZDQ,2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,I Hired a Hood Translator For Financial Audit,shorts,253940.0,0.047718,0.000429,2.617122,short,81.178501,83.986128,67.767078,,30.074301,100.0,86.538462,95.472918,45.0,False,False,False,False,False
pag8Ncc7AwQ,2026-05-18T12:49:30.314781+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,What’s Really Inside The Earth?,shorts,242077.0,0.035092,0.000173,4.909217,short,73.841077,73.884005,67.112089,,7.018482,91.25,92.307692,83.831851,31.0,False,True,False,False,False
RiLQQgGR-0k,2026-05-18T12:49:30.314781+00:00,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,LE SSERAFIM (르세라핌) BOOMPALA PREVIEW,shorts,241534.0,0.070673,0.001144,0.909367,short,86.188564,90.254262,66.017329,,28.442528,73.0,36.057692,97.763406,35.0,False,False,False,False,False
d06f3qGr5kk,2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,"Interior Designer Got FIRED From $60,000 Job",shorts,238100.0,0.037533,0.000818,0.867006,short,82.495099,85.387236,62.813123,,29.54133,100.0,86.538462,95.257343,44.0,True,False,False,False,False
nSudd0nmSug,2026-05-18T12:49:30.314781+00:00,UC16niRr50-MSBwiO3YDb3RA,BBC News,Crew safe after fighter jets collide at US air show #BBCNews,shorts,230906.0,0.014751,0.002927,0.452006,short,74.599412,75.926123,65.104019,,14.950921,100.0,36.057692,99.811372,60.0,False,False,False,False,False
ovGkbc1xJBE,2026-05-18T12:49:30.314781+00:00,UCrPseYLGpNygVi34QpGNqpA,Ludwig,She fooled me...,shorts,230410.0,0.038198,0.000123,2.233893,short,77.689572,78.313093,52.749582,,17.768875,59.75,36.057692,82.727028,16.0,False,False,False,False,False
unE54lfBBek,2026-05-18T12:49:30.314781+00:00,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Bron Breakker had an answer for everything Seth Rollins did. 😳🔥,shorts,226446.0,0.008928,5.4e-05,6.694274,short,61.690054,60.147414,53.446881,,0.0,100.0,36.057692,96.41606,63.0,False,False,False,False,False
ImG1BgHsqHk,2026-05-18T12:49:30.314781+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,Movie Scenes That Led To Lawsuits,shorts,221677.0,0.04285,0.000231,6.732284,short,75.760422,77.610314,79.251418,,13.576443,100.0,90.865385,95.122608,33.0,False,False,False,False,False
vqRnyKrXky0,2026-05-18T12:49:30.314781+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,Can You Guess The Baby Footballer? (Ft. HAALAND),shorts,219394.0,0.020429,6.6e-05,6.069193,short,60.238107,53.738297,54.170235,,0.0,49.0,36.057692,50.107788,48.0,False,True,False,False,False
pNKYBp67ZO4,2026-05-18T12:49:30.314781+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,Uno Chess,shorts,218228.0,0.04184,0.000615,0.974656,short,82.098091,84.535288,61.16343,,30.608842,100.0,87.5,91.376987,9.0,False,False,False,False,False
u97JbeRu8DU,2026-05-18T12:49:30.314781+00:00,UC-cnbLlplnXA4oc7rR21qzg,Lyna,Cuando le COPIAS el OUTFIT a tu AMIGO en Brookhaven Roblox,shorts,218132.0,0.009133,0.00017,5.787886,short,55.069971,48.069713,54.94619,,0.0,46.0,36.057692,58.69038,58.0,False,False,False,False,False
d-UTn28SjVo,2026-05-18T12:49:30.314781+00:00,UCoLrcjPV5PbUrUyXq5mjc_A,MLB,When baseballs collide 🫣,shorts,216686.0,0.00779,9.5e-05,2.511265,short,66.40914,66.006807,47.444169,,0.0,100.0,36.057692,99.541902,24.0,False,False,False,False,False
FHH5soWiHVM,2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Victoria Justice Tries Kai Cenat's Folding Bed 😂,shorts,188616.0,0.018251,5e-05,4.912967,short,63.140607,58.818841,55.596233,,0.0,82.0,36.057692,66.235516,48.0,False,False,False,False,False
NbcOjP9Cm0I,2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,Financial Audit Guest Demands Money From Me,shorts,186073.0,0.038346,0.000871,1.617469,short,80.99303,83.587565,72.06758,,30.937192,100.0,86.538462,94.179466,43.0,False,False,False,False,False
QUSaIk7EltQ,2026-05-18T12:49:30.314781+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,Products Made From The Human Body,shorts,169307.0,0.047505,0.000878,0.732261,short,83.934995,87.127578,63.981597,,27.729075,100.0,90.865385,94.125573,33.0,False,False,False,False,False
OlAIrZ6Wbg0,2026-05-18T12:49:30.314781+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,I am unemployed,shorts,169028.0,0.025337,0.000166,2.019795,short,75.370869,76.165939,63.34021,,1.957717,100.0,87.5,89.733226,15.0,False,False,False,False,False
-wOQ2QVol0U,2026-05-18T12:49:30.314781+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,Animals That Killed Their Owners,shorts,163190.0,0.040261,0.00059,2.732295,short,79.462213,81.808993,68.163471,,18.185584,100.0,90.865385,93.990838,32.0,False,False,False,False,False
RGq6mAHR9u0,2026-05-18T12:49:30.314781+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,Guess What Hit You,shorts,158639.0,0.026098,0.000387,0.78983,short,68.630903,62.967275,51.98269,,12.902093,49.0,36.057692,40.25869,18.0,False,False,False,False,False
G-gtlAc65-A,2026-05-18T12:49:30.314781+00:00,UCaY_-ksFSQtTGk0y1HA_3YQ,Ibai,A Roro se le ha ido la cabeza,shorts,149535.0,0.048609,0.000467,1.950698,short,85.933622,79.359077,55.098772,,16.447977,46.0,36.057692,64.483967,29.0,False,False,False,False,True
aEqsCOxrQ3Y,2026-05-18T12:49:30.314781+00:00,UCqynl7rdtktKMQESdSBmE-g,Sapnap,Minecraft Arrow Toss...,shorts,149421.0,0.033273,0.000129,2.674251,short,72.239112,69.848995,49.317454,,4.797682,46.0,36.057692,64.564807,23.0,False,False,False,False,False
kPOpd81QHYM,2026-05-18T12:49:30.314781+00:00,UCvgfXK4nTYKudb0rFR6noLA,UFC,FIRST EVER CAPSULE LOCK! #ufcvegas117,shorts,149124.0,0.00447,0.000164,1.599564,short,66.024634,65.077642,48.977254,,0.0,100.0,36.057692,95.742387,37.0,True,False,False,False,False
9uyS40FPbfs,2026-05-18T12:49:30.314781+00:00,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,Dropping the Steam Controller INTENTIONALLY,shorts,142830.0,0.02922,0.000198,2.816566,short,70.358678,67.365392,48.805417,,9.442369,46.0,36.057692,63.001886,43.0,False,False,False,False,False
Gab74WWEIZQ,2026-05-18T12:49:30.314781+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,How Far Away The Moon REALLY Is,shorts,142681.0,0.041879,0.000366,5.915247,mid,72.910497,72.461878,66.760933,,17.363576,91.25,92.307692,79.196982,31.0,False,False,False,False,False
5VXu4nmx6Mo,2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Kai Cenat Meets Good Luck Charlie 👀,shorts,138732.0,0.013419,7.4e-05,5.624217,short,58.471268,52.615931,54.551528,,0.0,82.0,36.057692,61.142549,35.0,False,False,False,False,False
7lCBKAxPsfs,2026-05-18T12:49:30.314781+00:00,UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,Cosas Que DEBES Buscar En GOOGLE,shorts,133982.0,0.035895,0.000187,4.695906,short,67.436858,62.736066,56.345021,,12.568406,43.0,36.057692,50.107788,32.0,False,False,False,False,False
mkYeITacS2A,2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,Grown Man Spends 12 Hours On ROBLOX,shorts,126815.0,0.029841,0.000964,5.492226,short,73.342436,74.363867,70.088837,,22.375262,100.0,86.538462,92.643492,35.0,True,False,False,False,False
p5JPGLcgdNg,2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Kai Cenat Can't Believe What Duke Dennis Did In His Room 😭,shorts,112718.0,0.03254,0.000117,2.822666,short,70.244838,66.693303,47.973311,,15.780465,82.0,36.057692,57.262193,58.0,False,False,False,False,False
dGlonEIK7Io,2026-05-18T12:49:30.314781+00:00,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,A is for Apple🍎! Learn ABCs with JJ!,shorts,112377.0,0.007595,0.0,7.033511,short,53.236886,46.090138,,,0.0,53.75,36.057692,59.768257,36.0,False,False,False,False,False
oZRhSOWLVaU,2026-05-18T12:49:30.314781+00:00,UCvgfXK4nTYKudb0rFR6noLA,UFC,July 11 Will Be Electric⚡️#ufc329,shorts,111853.0,0.039238,0.002001,0.575953,short,82.991819,86.07072,67.271091,,42.075899,100.0,36.057692,94.556723,33.0,True,False,False,False,False
r76-5ddZREM,2026-05-18T12:49:30.314781+00:00,UCeY0bbntWzzVIaj2z3QigXg,NBC News,Thousands attend prayer rally in Washington,shorts,111646.0,0.01886,0.009345,0.536277,short,86.674773,83.727353,67.570086,,28.31022,100.0,36.057692,99.946106,43.0,False,False,False,False,True
xjMo5PVgqC0,2026-05-18T12:49:30.314781+00:00,UCupvZG-5ko_eiXAupbDfxWw,CNN,The internet thinks Trump peeked at Xi’s notebook,shorts,109571.0,0.012743,0.000709,2.81718,short,68.834929,69.111076,53.202154,,0.0,100.0,36.057692,98.59876,49.0,False,False,False,False,False
fcb9sIG3yuI,2026-05-18T12:49:30.314781+00:00,UCTv-XvfzLX3i4IGWAm4sbmA,LALIGA EA SPORTS,𝑱𝒐𝒂̃𝒐 𝑷𝒆𝒅𝒓𝒐 𝑪𝒂𝒗𝒂𝒄𝒐 𝑪𝒂𝒏𝒄𝒆𝒍𝒐. 🫰🏻,shorts,107275.0,0.03346,0.000141,0.648152,short,82.643083,86.18252,57.863438,,14.276537,100.0,36.057692,99.568849,30.0,False,False,False,False,False
hmsoe6odgqE,2026-05-18T12:49:30.314781+00:00,UCPdaxSov0mgwh77JvjQO2jQ,Man Carrying Thing,this video will be deleted in 24 hours,shorts,104904.0,0.144187,0.024434,0.843337,short,96.785984,95.917204,71.845099,,58.027636,72.0,94.711538,94.960927,38.0,True,False,False,False,True
51qrG7SI0GM,2026-05-18T12:49:30.314781+00:00,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,Guess the Color of the Baby SHARK🦈🌈! Doo Doo DOO Learn Colors!,shorts,101118.0,0.008203,0.0,1.075906,short,60.413512,54.292393,45.022395,,0.0,53.75,36.057692,58.097548,62.0,False,False,False,False,False
WgvMTuBZ_34,2026-05-18T12:49:30.314781+00:00,UCBYyJBCtCvgqA4NwtoPMwpQ,The Wild Project,Las secuelas físicas del boxeo…,shorts,100735.0,0.059888,0.000362,6.84689,short,86.334962,83.106863,54.663324,,33.105983,52.0,36.057692,91.107518,31.0,False,False,False,False,True
PpbrNXvx7QI,2026-05-18T12:49:30.314781+00:00,UC-cnbLlplnXA4oc7rR21qzg,Lyna,Qué DUMPLING SQUISHY me toca? 🌈,shorts,97083.0,0.017266,0.000317,0.971265,short,62.600842,55.111327,48.368331,,1.339528,46.0,36.057692,37.348424,31.0,False,True,False,False,False
xd_YgSbX9lE,2026-05-18T12:49:30.314781+00:00,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Gunther is BIG MAD,shorts,93446.0,0.034453,0.00059,0.866786,short,81.039099,83.56619,60.71052,,23.592176,100.0,36.057692,93.128537,18.0,False,False,False,False,False
xO9ikc0YJo0,2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,A Fan Saves Kai Cenat's Day,shorts,91720.0,0.042859,0.000378,3.922029,short,70.03946,66.296246,58.63981,,28.018288,82.0,36.057692,53.516572,27.0,False,False,False,False,False
tJH_gXK_WBM,2026-05-18T12:49:30.314781+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,Memory Loss,shorts,90244.0,0.033464,0.000251,6.123256,short,72.085912,72.11515,65.574552,,17.468922,100.0,87.5,84.559418,11.0,False,False,False,False,False
AP73EwBsx3c,2026-05-18T12:49:30.314781+00:00,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,Síndrome de Rapunzel,shorts,88854.0,0.052968,0.000732,0.781092,short,84.361356,87.93412,63.22726,,25.92188,100.0,81.25,95.068715,20.0,False,False,False,False,False
w-rkrhwKSsM,2026-05-18T12:49:30.314781+00:00,UCrPseYLGpNygVi34QpGNqpA,Ludwig,I messed up....,shorts,88438.0,0.030691,0.000253,3.173638,short,72.085841,70.613815,59.062242,,11.895487,59.75,36.057692,72.05605,15.0,False,False,False,False,False
aatps-GayQ0,2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Kai Cenat Friendzones Zoe 😂,shorts,85201.0,0.032111,0.000232,4.933684,short,65.58449,60.277911,56.086473,,17.527071,82.0,36.057692,46.752897,27.0,False,False,False,False,False
kye4J9IQhBE,2026-05-18T12:49:30.314781+00:00,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Cody wants Gunther NOW,shorts,84533.0,0.042522,0.000817,0.658916,short,82.745529,85.654487,63.180609,,33.079925,100.0,36.057692,92.562652,22.0,False,False,False,False,False
jQK-S-HyHgc,2026-05-18T12:49:30.314781+00:00,UCE_M8A5yxnLfW0KghEeajjw,Apple,Watch Annie Choi turn her sketch into a fashion film,shorts,84242.0,0.005893,0.0,3.575964,short,58.626284,53.946577,56.795583,,0.0,55.0,36.057692,73.080032,52.0,False,False,False,False,False
L8BkLkDtThU,2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,The Saddest Moment in Financial Audit History,shorts,83528.0,0.039793,0.000653,4.617504,short,75.947407,77.422563,69.918008,,29.832252,100.0,86.538462,90.164376,45.0,False,False,False,False,False
9T52VDkW2yM,2026-05-18T12:49:30.314781+00:00,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,The moment it was announced that SGA is your 2025-26 @kia NBA MVP 👏‼️,shorts,77524.0,0.026872,0.00254,0.509853,short,80.500637,83.564588,67.196513,,31.41505,100.0,36.057692,99.514956,69.0,True,False,False,False,False
mS13Z_za4t0,2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,"Streamer Is Ignoring $20,000 Worth of DEBT",shorts,72274.0,0.034504,0.000441,1.866925,short,78.381981,80.055671,67.474885,,21.758818,100.0,86.538462,89.005659,42.0,True,False,False,False,False
VIE2Ri2DQJg,2026-05-18T12:49:30.314781+00:00,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,Why Fitbit Air Could Be Huge,shorts,70088.0,0.031536,0.000486,2.850224,short,68.49601,64.029884,50.261733,,16.103618,43.0,36.057692,50.107788,28.0,False,False,False,False,False
v1HaeSCvIXw,2026-05-18T12:49:30.314781+00:00,UCRzPUBhXUZHclB7B5bURFXw,Eater,It took 2 years to perfect the atta chicken at Ambassadors Clubhouse #shorts,shorts,67707.0,0.02454,0.000369,2.950119,mid,65.541823,60.356011,47.694546,,6.806188,43.0,36.057692,50.107788,76.0,True,False,False,False,False
xxbkGphvnhY,2026-05-18T12:49:30.314781+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,How Big is the Biggest Volcano?,shorts,67230.0,0.039871,0.000424,1.872457,mid,75.500355,74.516575,65.561213,,17.211908,91.25,92.307692,69.549987,31.0,False,True,False,False,False
j3Il0OW5Qhw,2026-05-18T12:49:30.314781+00:00,UCupvZG-5ko_eiXAupbDfxWw,CNN,Train collides with septic truck in Virginia,shorts,64629.0,0.01418,0.003102,0.531242,short,83.15706,79.235403,64.36957,,4.383244,100.0,36.057692,97.682565,44.0,False,False,False,False,True
xFecVd5DJkg,2026-05-18T12:49:30.314781+00:00,UCurvRE5fGcdUgCYWgh-BDsg,DAZN Boxing,A dancing and screaming Usyk is always up for a fight 😂🔥,shorts,63086.0,0.016975,0.001411,0.946913,short,74.111201,75.496562,61.439173,,13.983594,100.0,36.057692,97.601725,56.0,False,False,False,False,False
buSliUsdoNs,2026-05-18T12:49:30.314781+00:00,UCTv-XvfzLX3i4IGWAm4sbmA,LALIGA EA SPORTS,La despedida de Lewandowski. 🥲💙❤️,shorts,62540.0,0.047679,0.00104,0.647052,short,84.7977,88.981042,65.292446,,38.284512,100.0,36.057692,99.326327,33.0,False,False,False,False,False
6ZgsrOElm4w,2026-05-18T12:49:30.314781+00:00,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,Moment of collision between two Navy jets at Idaho air show | AJ Shorts,shorts,62098.0,0.031982,0.004939,0.444992,short,82.284436,85.778129,69.515141,,31.045678,100.0,36.057692,98.86823,71.0,False,False,False,False,False
Vsa4DmH9_6c,2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,Togi is NOT a Millionaire,shorts,61962.0,0.022942,0.000254,10.617272,short,65.468073,64.529014,,,0.0,100.0,86.538462,87.712207,25.0,False,False,False,False,False
xskMnb6Z9kY,2026-05-18T12:49:30.314781+00:00,UC0QHWhjbe5fGJEPz3sVb6nw,Doctor Mike,The Problem With Donating A Kidney,shorts,61930.0,0.045939,0.000904,5.710085,short,67.824088,63.525583,58.405107,,28.633059,43.0,36.057692,50.107788,34.0,False,False,False,False,False
Z1MoI-YdUOA,2026-05-18T12:49:30.314781+00:00,UC3tNpTOHsTnkmbwztCs30sA,Northernlion,they cooked me with this one,shorts,61175.0,0.031789,0.0003,1.719518,short,70.223155,66.106637,50.8391,,12.766192,43.0,36.057692,50.107788,28.0,False,False,False,False,False
iGcWCmKMW_4,2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Drake Gifts Kai Cenat & Ray 🧊,shorts,57494.0,0.025157,0.000117,2.815744,short,63.681109,56.947463,44.425117,,5.022711,82.0,36.057692,38.156831,29.0,False,False,False,False,False
ZTBuEaMeGAc,2026-05-18T12:49:30.314781+00:00,UCjiXtODGCCulmhwypZAWSag,Jynxzi,Jynxzi Gets Sent An Otter in Fan Mail🤣,shorts,56921.0,0.019582,0.000428,1.82571,short,64.575913,59.076453,49.352075,,1.66746,43.0,36.057692,50.107788,38.0,False,False,False,False,False
QPWScf-86po,2026-05-18T12:49:30.314781+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,I Made Mascots For Stores That Don’t Have Them,shorts,56905.0,0.02831,0.000386,17.815605,short,65.625207,64.883103,,,3.277362,100.0,90.865385,87.254109,46.0,False,False,False,False,False
AM2zTjaYDzM,2026-05-18T12:49:30.314781+00:00,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,It was at this moment that Roman Reigns realized Jacob Fatu was gonna be a problem 😨,shorts,53382.0,0.015563,0.000156,5.8777,short,64.819268,63.683542,54.158656,,0.0,100.0,36.057692,89.625438,84.0,False,False,False,False,False
uIcth4jt5yQ,2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,"This Civil Engineer Makes $150,000!",shorts,52759.0,0.032641,0.000398,6.742075,short,71.484522,71.756138,65.567106,,18.902946,100.0,86.538462,86.364861,35.0,True,False,False,False,False
aJVHah_EAUs,2026-05-18T12:49:30.314781+00:00,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,MEN STRUGGLE WITH THIS,shorts,52427.0,0.024718,0.002019,0.7427,short,75.448759,75.683413,63.322357,,22.743101,70.25,91.826923,82.457559,22.0,False,False,False,False,False
eUpyQFF-4vY,2026-05-18T12:49:30.314781+00:00,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,Learn to Brush your Teeth 🦷 in the SKY🌙! Bedtime Routine!,shorts,51727.0,0.012229,0.0,5.03358,short,54.069814,45.474968,54.297354,,0.0,53.75,36.057692,38.77661,57.0,False,False,False,False,False
OVirjiv9vTg,2026-05-18T12:49:30.314781+00:00,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Very ominous words from Paul Heyman... 😬,shorts,50928.0,0.027007,0.000293,3.881983,short,72.960355,73.666996,57.821657,,6.43141,100.0,36.057692,89.194287,40.0,False,False,False,False,False
0rsfEoiDcZU,2026-05-18T12:49:30.314781+00:00,UCWxlUwW9BgGISaakjGM37aw,Valkyrae,Rae Finds The Edge Of The Subnautica 2 Map..,shorts,49778.0,0.026959,0.000405,0.571508,short,78.123536,79.688556,58.157089,,10.534858,49.0,36.057692,89.0865,44.0,True,False,False,False,False
3MM6dHrMfeA,2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Kai Cenat Sees His Supersized Room 😂,shorts,49585.0,0.016392,0.000152,5.627075,short,55.17302,46.418099,54.359439,,0.0,82.0,36.057692,35.246564,36.0,False,False,False,False,False
IF5QrYc0IA0,2026-05-18T12:49:30.314781+00:00,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,“A SPIDA bite at the end of the quarter” 🕷️ 👏,shorts,48702.0,0.018975,0.000507,0.497434,short,76.25646,78.369807,58.567435,,0.429932,100.0,36.057692,99.056858,45.0,False,False,False,False,False
I8poL_Uxv8I,2026-05-18T12:49:30.314781+00:00,UCzYfz8uibvnB7Yc1LjePi4g,Aphmau,QUICK! HIDE!... Tutorial (Part 3),shorts,48697.0,0.017669,0.000358,3.736566,short,65.573296,63.090967,58.441472,,0.0,55.0,36.057692,75.639989,33.0,True,False,False,False,False
QwfNhuNmRiQ,2026-05-18T12:49:30.314781+00:00,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Nobody like a sore loser Sami Zayn 😒 💸,shorts,48156.0,0.016363,0.000269,2.930015,short,68.579041,68.083414,49.081869,,0.0,100.0,36.057692,88.790084,38.0,False,False,False,False,False
-jripWHy4sw,2026-05-18T12:49:30.314781+00:00,UCE_M8A5yxnLfW0KghEeajjw,Apple,Watch Molly Baz turn her new recipe into a video,shorts,46879.0,0.003534,0.0,4.577318,short,54.905328,48.662054,54.868743,,0.0,55.0,36.057692,63.675559,48.0,False,False,False,False,False
tZjLTRwSGig,2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,Call Her Daddy REFUSED To Interview Caleb Hammer,shorts,45710.0,0.027075,0.000783,5.742214,short,70.148928,69.979031,68.565546,,15.359469,100.0,86.538462,85.340878,48.0,False,False,False,False,False
P1DSZNhApJA,2026-05-18T12:49:30.314781+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,Jynxzi no no no no nooooooo,shorts,45518.0,0.01734,0.000109,16.106589,short,58.505546,55.105218,,,0.0,100.0,87.5,77.849636,27.0,False,False,False,False,False
