content_format,keyword,semantic_group,video_count,total_views_delta,avg_engagement_rate,top_video_title
videos,madrid,general,79,207.0,0.0205,Mexicanos gentrifican Madrid #mexico #españa
videos,indian,general,79,0.0,0.008172,How fashion recycling is poisoning this Indian city
videos,liga,general,79,0.0,0.018521,🔴 DIRECTO | Trump recibe en la Casa Blanca a los campeones de la Liga Nacional de Fútbol
videos,mundial,general,76,15765.0,0.033396,Así México enamora a BTS y estrellas de talla Mundial
videos,beijing,general,76,0.0,0.012412,"Trump and Xi conclude 'very successful' talks in Beijing, but no deals announced | BBC News"
videos,eeuu,general,75,6054.0,0.028144,EEUU quiere ACABAR con su dependencia de CHINA y tiene un PLAN: la PAX SILICA @VisualPolitik
shorts,china,general,75,4771.0,0.015944,"hay una CRISIS en China, ¡todo mundo tiene casa propia!"
videos,punto,general,75,0.0,0.017356,"""Taiwán es el punto más caliente del planeta: un ataque hundiría el PIB mundial un 10%"". Aranguren"
videos,sheinbaum,general,75,0.0,0.023526,"CANNES 2026: Un día en la trastienda del festival: hoteles, colas y estrellas #sheinbaum"
videos,podcast,general,73,23133.0,0.038829,ESTE PODCAST ES TERRIBLE
shorts,cuando,general,73,26680.0,0.068905,Me cambió la vida cuando Jaime Higuera dijo esto #shorts
videos,israel,general,73,17927.0,0.032404,¿Se acerca el FIN de NETANYAHU? El ERROR estratégico en IRÁN que ISRAEL no perdona @VisualPolitik
videos,amid,general,71,0.0,0.013358,"Yahoo Finance Live: Dow, S&P 500, Nasdaq sink as yields jump amid inflation jitters"
videos,cdmx,general,70,21110.0,0.025755,¿CIUDADANOS DE SEGUNDA?: EDO MEX VS CDMX
videos,taiwan,general,70,0.0,0.014521,We Joined a Taiwan Coast Guard Mission on the Front Line Against China #wsj #taiwan #china
shorts,what,general,69,794773.0,0.028276,What’s Really Inside The Earth?
videos,more,general,69,60136.0,0.023223,The V-22’s prototype was even more dangerous
videos,nuevo,news_trends,69,13613.0,0.03649,''Honduras Gate'' el nuevo plan de U.S.A e Israel para desestabilizar gobiernos.
videos,todo,general,68,129627.0,0.043347,Todo lo que ves es mentira. 👀
videos,rocha,general,68,0.0,0.030993,Rubén Rocha pide licencia… próximas horas turbulentas #méxico
videos,first,general,67,1037.0,0.023535,"If I wanted to hit my first $100,000 by 35 - here's what I'd do"
videos,will,general,66,76791.0,0.023659,6 BILLION PEOPLE WILL STARVE
videos,ante,general,66,1255.0,0.023895,El MIEDO de una MAMÁ ante un DIAGNÓSTICO: síndrome de Down - Más allá del rosa con Gloria Torruco
videos,nuevo,general,65,12881.0,0.036948,''Honduras Gate'' el nuevo plan de U.S.A e Israel para desestabilizar gobiernos.
videos,última,general,65,0.0,0.023263,"ÚLTIMA HORA BRICS: China domina el bloque, Pekín desafía al dólar y el yuan se hace con el control"
videos,india,general,63,815.0,0.01184,LA COMIDA DE LA INDIA ES PEOR DE LO QUE IMAGINAS
videos,video,general,61,132987.0,0.030756,I Tested Every Zack D. Films Video
shorts,dijo,general,61,26085.0,0.072441,Me cambió la vida cuando Jaime Higuera dijo esto #shorts
videos,idol,general,60,0.0,0.007826,"NEW! Indian Idol S16 - With Helen, Ayushmann Khurrana & Rakul Preet | Ep 62 | 17 May 2026 | Teaser"
videos,crisis,general,59,3205.0,0.026724,La crisis Argentina impulsa el consumo de carne de burro.
videos,show,general,58,0.0,0.020313,"Windows 11 Is Getting Faster - WAN Show May 15, 2026"
videos,chivas,general,58,0.0,0.014778,Fanki vende boletos a 113 pesos para Chivas vs Cruz Azul y cancela compras
videos,back,general,56,0.0,0.019985,A look back at Jerome Powell's 8 year legacy of purple ties and good afternoons. 👔
videos,luzutv,general,56,0.0,0.033637,¿Cómo se llevan Mirko y Pipe con sus hermanos? #elshowdelverano #luzutv
videos,vivo,general,55,15708.0,0.040645,“Vivo en una TIENDA DE CAMPAÑA porque no puedo pagar un alquiler”
shorts,jaime,general,55,25999.0,0.072055,Me cambió la vida cuando Jaime Higuera dijo esto #shorts
videos,azul,general,55,639.0,0.01437,"SOFI MAURE, la PAGINA AZUL y un problema generacional cada vez más grande l Ale Marin"
videos,high,general,55,0.0,0.018283,Amazon vs. SpaceX: The High-Stakes Battle for Space Internet | WSJ
videos,could,general,54,496922.0,0.025564,The Crystal That Could Destroy All Medicine
shorts,higuera,general,54,25999.0,0.072449,Me cambió la vida cuando Jaime Higuera dijo esto #shorts
shorts,says,general,54,5143.0,0.01613,What The Car You Drive Says About You
shorts,world,general,54,3182.0,0.02739,Kids With World Records
videos,resumen,general,54,228.0,0.028864,"Aranceles, T-MEC y Mundial | Resumen Noticias Abril | Dimes y Billetes #452"
videos,visit,general,54,0.0,0.013933,The Wildlife Sanctuary You Can Visit from Anywhere | Maya Higa | TED
shorts,that,general,53,957441.0,0.027552,Animals That Killed Their Owners
videos,senate,general,53,0.0,0.014486,The CLARITY Act advances in the Senate. What's next?
videos,moya,general,53,0.0,0.030249,SHEINBAUM exige pruebas a Estados Unidos para entregar a ROCHA MOYA | EL PAÍS
videos,completo,general,52,12519.0,0.034205,Escúchalo completo en Más Allá del Rosa en YouTube
videos,best,general,52,3865.0,0.015785,Best and Worst States When It Comes To Net Worth
videos,fifa,general,52,0.0,0.024481,Shakira's new song 'Dai Dai' is the official anthem for FIFA World Cup
videos,cruz,general,52,0.0,0.014135,Fanki vende boletos a 113 pesos para Chivas vs Cruz Azul y cancela compras
videos,vantage,general,52,0.0,0.008711,Saudi Arabia Planning a Secret Deal With Iran? | VANTAGE LIVE
shorts,video,general,51,7385.0,0.028895,Deadliest Video Games
videos,chisme,general,50,15258.0,0.040491,¡Me enamoré de un DEALER! 😭 Ft. @Soyeljaro - T10E11 #chisme #amor #relacionestoxicas
videos,modi,general,50,0.0,0.010675,What India hopes to gain from Modi’s high-stakes Europe trip | DW News
videos,that,general,49,401440.0,0.031347,The Crystal That Could Destroy All Medicine
videos,guerra,general,49,47608.0,0.036193,PÁNICO en el KREMLIN: La economía de GUERRA de PUTIN empieza a COLAPSAR @VisualPolitik
videos,esto,general,49,18103.0,0.060145,Esto Preocupa a Muchos Científicos
shorts,comentarios,general,49,2114.0,0.028591,👉🏻 Te dejo el PROMPT para mejorar tus fotos borrosas fijado en los comentarios de este vídeo.
videos,house,general,48,20336.0,0.0184,The call is coming from inside the house
videos,dinero,general,48,49263.0,0.05897,Estos Hacks De Claude Te Harán Ganar Dinero Tan Rápido Que Parece Ilegal
