creative_package_id,content_format,hook_id,hook_text,hook_type,expected_use,risk
cp_73_67cc5b9a28,videos,cp_73_67cc5b9a28_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_73_67cc5b9a28,videos,cp_73_67cc5b9a28_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_74_89d2b19698,videos,cp_74_89d2b19698_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_74_89d2b19698,videos,cp_74_89d2b19698_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_74_89d2b19698,videos,cp_74_89d2b19698_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_74_89d2b19698,videos,cp_74_89d2b19698_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
cp_74_89d2b19698,videos,cp_74_89d2b19698_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_74_89d2b19698,videos,cp_74_89d2b19698_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_76_5e353096ab,videos,cp_76_5e353096ab_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_76_5e353096ab,videos,cp_76_5e353096ab_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_76_5e353096ab,videos,cp_76_5e353096ab_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_76_5e353096ab,videos,cp_76_5e353096ab_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
cp_76_5e353096ab,videos,cp_76_5e353096ab_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_76_5e353096ab,videos,cp_76_5e353096ab_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_80_513678b7aa,videos,cp_80_513678b7aa_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_80_513678b7aa,videos,cp_80_513678b7aa_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_80_513678b7aa,videos,cp_80_513678b7aa_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_80_513678b7aa,videos,cp_80_513678b7aa_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
cp_80_513678b7aa,videos,cp_80_513678b7aa_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_80_513678b7aa,videos,cp_80_513678b7aa_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_83_4095a237f5,videos,cp_83_4095a237f5_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_83_4095a237f5,videos,cp_83_4095a237f5_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_83_4095a237f5,videos,cp_83_4095a237f5_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_83_4095a237f5,videos,cp_83_4095a237f5_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
cp_83_4095a237f5,videos,cp_83_4095a237f5_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_83_4095a237f5,videos,cp_83_4095a237f5_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_84_90bd84e186,videos,cp_84_90bd84e186_h1,¿Qué cambia realmente con tema clave?,question_hook,intro,low
cp_84_90bd84e186,videos,cp_84_90bd84e186_h2,"Muchos simplifican tema clave, pero hay matices críticos.",contrast_hook,intro,medium
cp_84_90bd84e186,videos,cp_84_90bd84e186_h3,Los datos recientes de tema clave muestran una señal accionable.,data_hook,intro,low
cp_84_90bd84e186,videos,cp_84_90bd84e186_h4,Error común: ejecutar tema clave sin validar evidencia.,mistake_hook,middle,medium
cp_84_90bd84e186,videos,cp_84_90bd84e186_h5,En este video saldrás con un plan claro sobre tema clave.,promise_hook,intro,low
cp_84_90bd84e186,videos,cp_84_90bd84e186_h6,Hay un detalle de tema clave que cambia toda la decisión.,curiosity_hook,intro,medium
cp_86_edeb627532,shorts,cp_86_edeb627532_h1,¿Qué cambia realmente con tema clave?,question_hook,intro,low
cp_86_edeb627532,shorts,cp_86_edeb627532_h2,"Muchos simplifican tema clave, pero hay matices críticos.",contrast_hook,intro,medium
cp_86_edeb627532,shorts,cp_86_edeb627532_h3,Los datos recientes de tema clave muestran una señal accionable.,data_hook,intro,low
cp_86_edeb627532,shorts,cp_86_edeb627532_h4,Error común: ejecutar tema clave sin validar evidencia.,mistake_hook,middle,medium
cp_86_edeb627532,shorts,cp_86_edeb627532_h5,En este video saldrás con un plan claro sobre tema clave.,promise_hook,intro,low
cp_86_edeb627532,shorts,cp_86_edeb627532_h6,Hay un detalle de tema clave que cambia toda la decisión.,curiosity_hook,intro,medium
cp_87_be2b56740e,videos,cp_87_be2b56740e_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_87_be2b56740e,videos,cp_87_be2b56740e_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_87_be2b56740e,videos,cp_87_be2b56740e_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_87_be2b56740e,videos,cp_87_be2b56740e_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
cp_87_be2b56740e,videos,cp_87_be2b56740e_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_87_be2b56740e,videos,cp_87_be2b56740e_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_89_bc33e52a17,shorts,cp_89_bc33e52a17_h1,¿Qué cambia realmente con tema clave?,question_hook,intro,low
cp_89_bc33e52a17,shorts,cp_89_bc33e52a17_h2,"Muchos simplifican tema clave, pero hay matices críticos.",contrast_hook,intro,medium
cp_89_bc33e52a17,shorts,cp_89_bc33e52a17_h3,Los datos recientes de tema clave muestran una señal accionable.,data_hook,intro,low
cp_89_bc33e52a17,shorts,cp_89_bc33e52a17_h4,Error común: ejecutar tema clave sin validar evidencia.,mistake_hook,middle,medium
cp_89_bc33e52a17,shorts,cp_89_bc33e52a17_h5,En este video saldrás con un plan claro sobre tema clave.,promise_hook,intro,low
cp_89_bc33e52a17,shorts,cp_89_bc33e52a17_h6,Hay un detalle de tema clave que cambia toda la decisión.,curiosity_hook,intro,medium
cp_91_a06e92a51f,videos,cp_91_a06e92a51f_h1,¿Qué cambia realmente con tema clave?,question_hook,intro,low
cp_91_a06e92a51f,videos,cp_91_a06e92a51f_h2,"Muchos simplifican tema clave, pero hay matices críticos.",contrast_hook,intro,medium
cp_91_a06e92a51f,videos,cp_91_a06e92a51f_h3,Los datos recientes de tema clave muestran una señal accionable.,data_hook,intro,low
cp_91_a06e92a51f,videos,cp_91_a06e92a51f_h4,Error común: ejecutar tema clave sin validar evidencia.,mistake_hook,middle,medium
cp_91_a06e92a51f,videos,cp_91_a06e92a51f_h5,En este video saldrás con un plan claro sobre tema clave.,promise_hook,intro,low
cp_91_a06e92a51f,videos,cp_91_a06e92a51f_h6,Hay un detalle de tema clave que cambia toda la decisión.,curiosity_hook,intro,medium
cp_95_904727fffa,videos,cp_95_904727fffa_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_95_904727fffa,videos,cp_95_904727fffa_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_95_904727fffa,videos,cp_95_904727fffa_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_95_904727fffa,videos,cp_95_904727fffa_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
cp_95_904727fffa,videos,cp_95_904727fffa_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_95_904727fffa,videos,cp_95_904727fffa_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_96_137b288ebf,videos,cp_96_137b288ebf_h1,¿Qué cambia realmente con tema clave?,question_hook,intro,low
cp_96_137b288ebf,videos,cp_96_137b288ebf_h2,"Muchos simplifican tema clave, pero hay matices críticos.",contrast_hook,intro,medium
cp_96_137b288ebf,videos,cp_96_137b288ebf_h3,Los datos recientes de tema clave muestran una señal accionable.,data_hook,intro,low
cp_96_137b288ebf,videos,cp_96_137b288ebf_h4,Error común: ejecutar tema clave sin validar evidencia.,mistake_hook,middle,medium
cp_96_137b288ebf,videos,cp_96_137b288ebf_h5,En este video saldrás con un plan claro sobre tema clave.,promise_hook,intro,low
cp_96_137b288ebf,videos,cp_96_137b288ebf_h6,Hay un detalle de tema clave que cambia toda la decisión.,curiosity_hook,intro,medium
cp_97_eac8cb91b7,videos,cp_97_eac8cb91b7_h1,¿Qué cambia realmente con create_fast_reaction?,question_hook,intro,low
cp_97_eac8cb91b7,videos,cp_97_eac8cb91b7_h2,"Muchos simplifican create_fast_reaction, pero hay matices críticos.",contrast_hook,intro,medium
cp_97_eac8cb91b7,videos,cp_97_eac8cb91b7_h3,Los datos recientes de create_fast_reaction muestran una señal accionable.,data_hook,intro,low
cp_97_eac8cb91b7,videos,cp_97_eac8cb91b7_h4,Error común: ejecutar create_fast_reaction sin validar evidencia.,mistake_hook,middle,medium
cp_97_eac8cb91b7,videos,cp_97_eac8cb91b7_h5,En este video saldrás con un plan claro sobre create_fast_reaction.,promise_hook,intro,low
cp_97_eac8cb91b7,videos,cp_97_eac8cb91b7_h6,Hay un detalle de create_fast_reaction que cambia toda la decisión.,curiosity_hook,intro,medium
cp_99_80f591feee,videos,cp_99_80f591feee_h1,¿Qué cambia realmente con create_fast_reaction?,question_hook,intro,low
cp_99_80f591feee,videos,cp_99_80f591feee_h2,"Muchos simplifican create_fast_reaction, pero hay matices críticos.",contrast_hook,intro,medium
cp_99_80f591feee,videos,cp_99_80f591feee_h3,Los datos recientes de create_fast_reaction muestran una señal accionable.,data_hook,intro,low
cp_99_80f591feee,videos,cp_99_80f591feee_h4,Error común: ejecutar create_fast_reaction sin validar evidencia.,mistake_hook,middle,medium
cp_99_80f591feee,videos,cp_99_80f591feee_h5,En este video saldrás con un plan claro sobre create_fast_reaction.,promise_hook,intro,low
cp_99_80f591feee,videos,cp_99_80f591feee_h6,Hay un detalle de create_fast_reaction que cambia toda la decisión.,curiosity_hook,intro,medium
cp_104_54f18ebbf1,videos,cp_104_54f18ebbf1_h1,¿Qué cambia realmente con tema clave?,question_hook,intro,low
cp_104_54f18ebbf1,videos,cp_104_54f18ebbf1_h2,"Muchos simplifican tema clave, pero hay matices críticos.",contrast_hook,intro,medium
cp_104_54f18ebbf1,videos,cp_104_54f18ebbf1_h3,Los datos recientes de tema clave muestran una señal accionable.,data_hook,intro,low
cp_104_54f18ebbf1,videos,cp_104_54f18ebbf1_h4,Error común: ejecutar tema clave sin validar evidencia.,mistake_hook,middle,medium
cp_104_54f18ebbf1,videos,cp_104_54f18ebbf1_h5,En este video saldrás con un plan claro sobre tema clave.,promise_hook,intro,low
cp_104_54f18ebbf1,videos,cp_104_54f18ebbf1_h6,Hay un detalle de tema clave que cambia toda la decisión.,curiosity_hook,intro,medium
cp_106_9dccf3eb49,videos,cp_106_9dccf3eb49_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_106_9dccf3eb49,videos,cp_106_9dccf3eb49_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_106_9dccf3eb49,videos,cp_106_9dccf3eb49_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_106_9dccf3eb49,videos,cp_106_9dccf3eb49_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
cp_106_9dccf3eb49,videos,cp_106_9dccf3eb49_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_106_9dccf3eb49,videos,cp_106_9dccf3eb49_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_107_ca2ee9b796,shorts,cp_107_ca2ee9b796_h1,¿Qué cambia realmente con repackage_idea?,question_hook,intro,low
cp_107_ca2ee9b796,shorts,cp_107_ca2ee9b796_h2,"Muchos simplifican repackage_idea, pero hay matices críticos.",contrast_hook,intro,medium
cp_107_ca2ee9b796,shorts,cp_107_ca2ee9b796_h3,Los datos recientes de repackage_idea muestran una señal accionable.,data_hook,intro,low
cp_107_ca2ee9b796,shorts,cp_107_ca2ee9b796_h4,Error común: ejecutar repackage_idea sin validar evidencia.,mistake_hook,middle,medium
cp_107_ca2ee9b796,shorts,cp_107_ca2ee9b796_h5,En este video saldrás con un plan claro sobre repackage_idea.,promise_hook,intro,low
cp_107_ca2ee9b796,shorts,cp_107_ca2ee9b796_h6,Hay un detalle de repackage_idea que cambia toda la decisión.,curiosity_hook,intro,medium
cp_110_63a5ab5076,videos,cp_110_63a5ab5076_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_110_63a5ab5076,videos,cp_110_63a5ab5076_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_110_63a5ab5076,videos,cp_110_63a5ab5076_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_110_63a5ab5076,videos,cp_110_63a5ab5076_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
cp_110_63a5ab5076,videos,cp_110_63a5ab5076_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_110_63a5ab5076,videos,cp_110_63a5ab5076_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_112_8c5d054f4c,shorts,cp_112_8c5d054f4c_h1,¿Qué cambia realmente con tema clave?,question_hook,intro,low
cp_112_8c5d054f4c,shorts,cp_112_8c5d054f4c_h2,"Muchos simplifican tema clave, pero hay matices críticos.",contrast_hook,intro,medium
cp_112_8c5d054f4c,shorts,cp_112_8c5d054f4c_h3,Los datos recientes de tema clave muestran una señal accionable.,data_hook,intro,low
cp_112_8c5d054f4c,shorts,cp_112_8c5d054f4c_h4,Error común: ejecutar tema clave sin validar evidencia.,mistake_hook,middle,medium
cp_112_8c5d054f4c,shorts,cp_112_8c5d054f4c_h5,En este video saldrás con un plan claro sobre tema clave.,promise_hook,intro,low
cp_112_8c5d054f4c,shorts,cp_112_8c5d054f4c_h6,Hay un detalle de tema clave que cambia toda la decisión.,curiosity_hook,intro,medium
cp_114_a3cb321baf,shorts,cp_114_a3cb321baf_h1,¿Qué cambia realmente con create_fast_reaction?,question_hook,intro,low
cp_114_a3cb321baf,shorts,cp_114_a3cb321baf_h2,"Muchos simplifican create_fast_reaction, pero hay matices críticos.",contrast_hook,intro,medium
cp_114_a3cb321baf,shorts,cp_114_a3cb321baf_h3,Los datos recientes de create_fast_reaction muestran una señal accionable.,data_hook,intro,low
cp_114_a3cb321baf,shorts,cp_114_a3cb321baf_h4,Error común: ejecutar create_fast_reaction sin validar evidencia.,mistake_hook,middle,medium
cp_114_a3cb321baf,shorts,cp_114_a3cb321baf_h5,En este video saldrás con un plan claro sobre create_fast_reaction.,promise_hook,intro,low
cp_114_a3cb321baf,shorts,cp_114_a3cb321baf_h6,Hay un detalle de create_fast_reaction que cambia toda la decisión.,curiosity_hook,intro,medium
cp_115_130c7f2688,shorts,cp_115_130c7f2688_h1,¿Qué cambia realmente con create_fast_reaction?,question_hook,intro,low
cp_115_130c7f2688,shorts,cp_115_130c7f2688_h2,"Muchos simplifican create_fast_reaction, pero hay matices críticos.",contrast_hook,intro,medium
cp_115_130c7f2688,shorts,cp_115_130c7f2688_h3,Los datos recientes de create_fast_reaction muestran una señal accionable.,data_hook,intro,low
cp_115_130c7f2688,shorts,cp_115_130c7f2688_h4,Error común: ejecutar create_fast_reaction sin validar evidencia.,mistake_hook,middle,medium
cp_115_130c7f2688,shorts,cp_115_130c7f2688_h5,En este video saldrás con un plan claro sobre create_fast_reaction.,promise_hook,intro,low
cp_115_130c7f2688,shorts,cp_115_130c7f2688_h6,Hay un detalle de create_fast_reaction que cambia toda la decisión.,curiosity_hook,intro,medium
cp_118_f78af43f9a,videos,cp_118_f78af43f9a_h1,¿Qué cambia realmente con tema clave?,question_hook,intro,low
cp_118_f78af43f9a,videos,cp_118_f78af43f9a_h2,"Muchos simplifican tema clave, pero hay matices críticos.",contrast_hook,intro,medium
cp_118_f78af43f9a,videos,cp_118_f78af43f9a_h3,Los datos recientes de tema clave muestran una señal accionable.,data_hook,intro,low
cp_118_f78af43f9a,videos,cp_118_f78af43f9a_h4,Error común: ejecutar tema clave sin validar evidencia.,mistake_hook,middle,medium
cp_118_f78af43f9a,videos,cp_118_f78af43f9a_h5,En este video saldrás con un plan claro sobre tema clave.,promise_hook,intro,low
cp_118_f78af43f9a,videos,cp_118_f78af43f9a_h6,Hay un detalle de tema clave que cambia toda la decisión.,curiosity_hook,intro,medium
cp_122_c06f3f717b,videos,cp_122_c06f3f717b_h1,¿Qué cambia realmente con create_fast_reaction?,question_hook,intro,low
cp_122_c06f3f717b,videos,cp_122_c06f3f717b_h2,"Muchos simplifican create_fast_reaction, pero hay matices críticos.",contrast_hook,intro,medium
cp_122_c06f3f717b,videos,cp_122_c06f3f717b_h3,Los datos recientes de create_fast_reaction muestran una señal accionable.,data_hook,intro,low
cp_122_c06f3f717b,videos,cp_122_c06f3f717b_h4,Error común: ejecutar create_fast_reaction sin validar evidencia.,mistake_hook,middle,medium
cp_122_c06f3f717b,videos,cp_122_c06f3f717b_h5,En este video saldrás con un plan claro sobre create_fast_reaction.,promise_hook,intro,low
cp_122_c06f3f717b,videos,cp_122_c06f3f717b_h6,Hay un detalle de create_fast_reaction que cambia toda la decisión.,curiosity_hook,intro,medium
cp_123_59a1620ee0,shorts,cp_123_59a1620ee0_h1,¿Qué cambia realmente con tema clave?,question_hook,intro,low
cp_123_59a1620ee0,shorts,cp_123_59a1620ee0_h2,"Muchos simplifican tema clave, pero hay matices críticos.",contrast_hook,intro,medium
cp_123_59a1620ee0,shorts,cp_123_59a1620ee0_h3,Los datos recientes de tema clave muestran una señal accionable.,data_hook,intro,low
cp_123_59a1620ee0,shorts,cp_123_59a1620ee0_h4,Error común: ejecutar tema clave sin validar evidencia.,mistake_hook,middle,medium
cp_123_59a1620ee0,shorts,cp_123_59a1620ee0_h5,En este video saldrás con un plan claro sobre tema clave.,promise_hook,intro,low
cp_123_59a1620ee0,shorts,cp_123_59a1620ee0_h6,Hay un detalle de tema clave que cambia toda la decisión.,curiosity_hook,intro,medium
cp_124_80d8510499,videos,cp_124_80d8510499_h1,¿Qué cambia realmente con create_fast_reaction?,question_hook,intro,low
cp_124_80d8510499,videos,cp_124_80d8510499_h2,"Muchos simplifican create_fast_reaction, pero hay matices críticos.",contrast_hook,intro,medium
cp_124_80d8510499,videos,cp_124_80d8510499_h3,Los datos recientes de create_fast_reaction muestran una señal accionable.,data_hook,intro,low
cp_124_80d8510499,videos,cp_124_80d8510499_h4,Error común: ejecutar create_fast_reaction sin validar evidencia.,mistake_hook,middle,medium
cp_124_80d8510499,videos,cp_124_80d8510499_h5,En este video saldrás con un plan claro sobre create_fast_reaction.,promise_hook,intro,low
cp_124_80d8510499,videos,cp_124_80d8510499_h6,Hay un detalle de create_fast_reaction que cambia toda la decisión.,curiosity_hook,intro,medium
cp_126_ac646675e9,videos,cp_126_ac646675e9_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_126_ac646675e9,videos,cp_126_ac646675e9_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_126_ac646675e9,videos,cp_126_ac646675e9_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_126_ac646675e9,videos,cp_126_ac646675e9_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
cp_126_ac646675e9,videos,cp_126_ac646675e9_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_126_ac646675e9,videos,cp_126_ac646675e9_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_127_16f41351ea,videos,cp_127_16f41351ea_h1,¿Qué cambia realmente con create_fast_reaction?,question_hook,intro,low
cp_127_16f41351ea,videos,cp_127_16f41351ea_h2,"Muchos simplifican create_fast_reaction, pero hay matices críticos.",contrast_hook,intro,medium
cp_127_16f41351ea,videos,cp_127_16f41351ea_h3,Los datos recientes de create_fast_reaction muestran una señal accionable.,data_hook,intro,low
cp_127_16f41351ea,videos,cp_127_16f41351ea_h4,Error común: ejecutar create_fast_reaction sin validar evidencia.,mistake_hook,middle,medium
cp_127_16f41351ea,videos,cp_127_16f41351ea_h5,En este video saldrás con un plan claro sobre create_fast_reaction.,promise_hook,intro,low
cp_127_16f41351ea,videos,cp_127_16f41351ea_h6,Hay un detalle de create_fast_reaction que cambia toda la decisión.,curiosity_hook,intro,medium
cp_131_805951fa72,shorts,cp_131_805951fa72_h1,¿Qué cambia realmente con tema clave?,question_hook,intro,low
cp_131_805951fa72,shorts,cp_131_805951fa72_h2,"Muchos simplifican tema clave, pero hay matices críticos.",contrast_hook,intro,medium
cp_131_805951fa72,shorts,cp_131_805951fa72_h3,Los datos recientes de tema clave muestran una señal accionable.,data_hook,intro,low
cp_131_805951fa72,shorts,cp_131_805951fa72_h4,Error común: ejecutar tema clave sin validar evidencia.,mistake_hook,middle,medium
cp_131_805951fa72,shorts,cp_131_805951fa72_h5,En este video saldrás con un plan claro sobre tema clave.,promise_hook,intro,low
cp_131_805951fa72,shorts,cp_131_805951fa72_h6,Hay un detalle de tema clave que cambia toda la decisión.,curiosity_hook,intro,medium
cp_136_fe78c57c5c,videos,cp_136_fe78c57c5c_h1,¿Qué cambia realmente con create_fast_reaction?,question_hook,intro,low
cp_136_fe78c57c5c,videos,cp_136_fe78c57c5c_h2,"Muchos simplifican create_fast_reaction, pero hay matices críticos.",contrast_hook,intro,medium
cp_136_fe78c57c5c,videos,cp_136_fe78c57c5c_h3,Los datos recientes de create_fast_reaction muestran una señal accionable.,data_hook,intro,low
cp_136_fe78c57c5c,videos,cp_136_fe78c57c5c_h4,Error común: ejecutar create_fast_reaction sin validar evidencia.,mistake_hook,middle,medium
cp_136_fe78c57c5c,videos,cp_136_fe78c57c5c_h5,En este video saldrás con un plan claro sobre create_fast_reaction.,promise_hook,intro,low
cp_136_fe78c57c5c,videos,cp_136_fe78c57c5c_h6,Hay un detalle de create_fast_reaction que cambia toda la decisión.,curiosity_hook,intro,medium
cp_137_1591e10cbb,videos,cp_137_1591e10cbb_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_137_1591e10cbb,videos,cp_137_1591e10cbb_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_137_1591e10cbb,videos,cp_137_1591e10cbb_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_137_1591e10cbb,videos,cp_137_1591e10cbb_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
cp_137_1591e10cbb,videos,cp_137_1591e10cbb_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_137_1591e10cbb,videos,cp_137_1591e10cbb_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_139_be7b44c8c6,videos,cp_139_be7b44c8c6_h1,¿Qué cambia realmente con create_fast_reaction?,question_hook,intro,low
cp_139_be7b44c8c6,videos,cp_139_be7b44c8c6_h2,"Muchos simplifican create_fast_reaction, pero hay matices críticos.",contrast_hook,intro,medium
cp_139_be7b44c8c6,videos,cp_139_be7b44c8c6_h3,Los datos recientes de create_fast_reaction muestran una señal accionable.,data_hook,intro,low
cp_139_be7b44c8c6,videos,cp_139_be7b44c8c6_h4,Error común: ejecutar create_fast_reaction sin validar evidencia.,mistake_hook,middle,medium
cp_139_be7b44c8c6,videos,cp_139_be7b44c8c6_h5,En este video saldrás con un plan claro sobre create_fast_reaction.,promise_hook,intro,low
cp_139_be7b44c8c6,videos,cp_139_be7b44c8c6_h6,Hay un detalle de create_fast_reaction que cambia toda la decisión.,curiosity_hook,intro,medium
cp_140_10543fd670,shorts,cp_140_10543fd670_h1,¿Qué cambia realmente con analyze_reference?,question_hook,intro,low
cp_140_10543fd670,shorts,cp_140_10543fd670_h2,"Muchos simplifican analyze_reference, pero hay matices críticos.",contrast_hook,intro,medium
cp_140_10543fd670,shorts,cp_140_10543fd670_h3,Los datos recientes de analyze_reference muestran una señal accionable.,data_hook,intro,low
cp_140_10543fd670,shorts,cp_140_10543fd670_h4,Error común: ejecutar analyze_reference sin validar evidencia.,mistake_hook,middle,medium
cp_140_10543fd670,shorts,cp_140_10543fd670_h5,En este video saldrás con un plan claro sobre analyze_reference.,promise_hook,intro,low
cp_140_10543fd670,shorts,cp_140_10543fd670_h6,Hay un detalle de analyze_reference que cambia toda la decisión.,curiosity_hook,intro,medium
cp_143_5400f0947a,shorts,cp_143_5400f0947a_h1,¿Qué cambia realmente con tema clave?,question_hook,intro,low
