content_format,target,model_family,feature,feature_group,importance_type,importance_value,importance_rank,direction,notes
videos,future_log_views_delta_7d,random_forest_regressor,decision_score,model_decision,permutation_importance_std,0.00018805,7,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,decision_score,model_decision,impurity_importance,0.00246339,7,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,description_length_chars,engagement_context,permutation_importance_mean,-9.677e-05,15,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,description_length_chars,engagement_context,permutation_importance_std,6.802e-05,15,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,description_length_chars,engagement_context,impurity_importance,0.00083123,15,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,description_word_count,engagement_context,permutation_importance_mean,-0.00036201,9,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,description_word_count,engagement_context,permutation_importance_std,1.279e-05,9,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,description_word_count,engagement_context,impurity_importance,0.00069377,9,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,engagement_rate,engagement_context,permutation_importance_mean,-0.00033206,10,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,engagement_rate,engagement_context,permutation_importance_std,3.661e-05,10,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,engagement_rate,engagement_context,impurity_importance,0.0013737,10,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,evergreen_score,engagement_context,permutation_importance_mean,2.799e-05,30,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,evergreen_score,engagement_context,permutation_importance_std,1.625e-05,30,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,evergreen_score,engagement_context,impurity_importance,7.317e-05,30,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,finance_semantic_score,semantic_scores,permutation_importance_mean,9.8e-07,53,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,finance_semantic_score,semantic_scores,permutation_importance_std,2.41e-06,53,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,finance_semantic_score,semantic_scores,impurity_importance,2.202e-05,53,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,has_ai_word,engagement_context,permutation_importance_mean,2.481e-05,31,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,has_ai_word,engagement_context,permutation_importance_std,3.03e-06,31,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,has_ai_word,engagement_context,impurity_importance,3.973e-05,31,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,has_finance_word,engagement_context,permutation_importance_mean,4.59e-06,46,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,has_finance_word,engagement_context,permutation_importance_std,4.7e-06,46,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,has_finance_word,engagement_context,impurity_importance,1.973e-05,46,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,has_number,engagement_context,permutation_importance_mean,-4e-05,22,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,has_number,engagement_context,permutation_importance_std,1.048e-05,22,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,has_number,engagement_context,impurity_importance,7.77e-05,22,positive,secondary
videos,future_log_views_delta_7d,random_forest_regressor,has_question,engagement_context,permutation_importance_mean,6.131e-05,17,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,has_question,engagement_context,permutation_importance_std,1.551e-05,17,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,has_question,engagement_context,impurity_importance,0.00012135,17,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,hybrid_decision_score,model_decision,permutation_importance_mean,0.00324339,3,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,hybrid_decision_score,model_decision,permutation_importance_std,0.00050222,3,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,hybrid_decision_score,model_decision,impurity_importance,0.0038919,3,positive,secondary
videos,future_log_views_delta_7d,random_forest_regressor,metadata_changed,metadata,permutation_importance_mean,-2.11e-06,48,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,metadata_changed,metadata,permutation_importance_std,8.1e-07,48,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,metadata_changed,metadata,impurity_importance,1.277e-05,48,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,metric_confidence_score,engagement_context,permutation_importance_mean,-0.00025884,11,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,metric_confidence_score,engagement_context,permutation_importance_std,0.00018174,11,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,metric_confidence_score,engagement_context,impurity_importance,0.00098091,11,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,news_semantic_score,semantic_scores,permutation_importance_mean,-1.42e-06,52,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,news_semantic_score,semantic_scores,permutation_importance_std,4.1e-07,52,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,news_semantic_score,semantic_scores,impurity_importance,3.76e-06,52,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,opportunity_score,engagement_context,permutation_importance_mean,0.00228143,4,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,opportunity_score,engagement_context,permutation_importance_std,0.00044671,4,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,opportunity_score,engagement_context,impurity_importance,0.0030438,4,positive,secondary
videos,future_log_views_delta_7d,random_forest_regressor,packaging_problem_score,engagement_context,permutation_importance_mean,0.00011452,13,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,packaging_problem_score,engagement_context,permutation_importance_std,0.00028482,13,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,packaging_problem_score,engagement_context,impurity_importance,0.00192908,13,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,productivity_semantic_score,semantic_scores,permutation_importance_mean,3.521e-05,27,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,productivity_semantic_score,semantic_scores,permutation_importance_std,4.034e-05,27,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,productivity_semantic_score,semantic_scores,impurity_importance,0.00010219,27,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,promise_semantic_score,semantic_scores,permutation_importance_mean,-3.868e-05,25,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,promise_semantic_score,semantic_scores,permutation_importance_std,2.168e-05,25,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,promise_semantic_score,semantic_scores,impurity_importance,0.00012647,25,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_id,semantic_cluster,permutation_importance_mean,1.584e-05,36,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_id,semantic_cluster,permutation_importance_std,5.05e-05,36,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_id,semantic_cluster,impurity_importance,0.00024524,36,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,title_has_currency,title_style,permutation_importance_mean,0.0,60,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,title_has_currency,title_style,permutation_importance_std,0.0,60,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,title_has_currency,title_style,impurity_importance,2e-08,60,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,title_has_number,title_style,permutation_importance_mean,-1.175e-05,38,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,title_has_number,title_style,permutation_importance_std,3.98e-06,38,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,title_has_number,title_style,impurity_importance,8.419e-05,38,positive,secondary
videos,future_log_views_delta_7d,random_forest_regressor,title_has_question,title_style,permutation_importance_mean,-1.626e-05,35,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,title_has_question,title_style,permutation_importance_std,2.216e-05,35,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,title_has_question,title_style,impurity_importance,0.00012009,35,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,title_has_year,title_style,permutation_importance_mean,7.74e-06,43,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,title_has_year,title_style,permutation_importance_std,1.041e-05,43,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,title_has_year,title_style,impurity_importance,3.115e-05,43,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,title_length_chars,title_style,permutation_importance_mean,1.994e-05,34,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,title_length_chars,title_style,permutation_importance_std,5.227e-05,34,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,title_length_chars,title_style,impurity_importance,0.00076073,34,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,title_word_count,title_style,permutation_importance_mean,-0.00036993,8,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,title_word_count,title_style,permutation_importance_std,7.82e-06,8,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,title_word_count,title_style,impurity_importance,0.00070472,8,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_confidence,topic_metrics,permutation_importance_mean,5.452e-05,18,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_confidence,topic_metrics,permutation_importance_std,8.671e-05,18,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_confidence,topic_metrics,impurity_importance,0.00020922,18,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_opportunity_score,topic_metrics,permutation_importance_mean,1.028e-05,40,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_opportunity_score,topic_metrics,permutation_importance_std,3.106e-05,40,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_opportunity_score,topic_metrics,impurity_importance,0.00016282,40,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_saturation_score,topic_metrics,permutation_importance_mean,-2.06e-05,33,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_saturation_score,topic_metrics,permutation_importance_std,1.061e-05,33,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_saturation_score,topic_metrics,impurity_importance,0.00012044,33,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,trend_burst_score,engagement_context,permutation_importance_mean,9e-07,54,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,trend_burst_score,engagement_context,permutation_importance_std,3e-08,54,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,trend_burst_score,engagement_context,impurity_importance,9e-07,54,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,tutorial_semantic_score,semantic_scores,permutation_importance_mean,-3.05e-06,47,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,tutorial_semantic_score,semantic_scores,permutation_importance_std,1.78e-06,47,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,tutorial_semantic_score,semantic_scores,impurity_importance,6.2e-06,47,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,urgency_semantic_score,semantic_scores,permutation_importance_mean,-1.18e-05,37,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,urgency_semantic_score,semantic_scores,permutation_importance_std,1.536e-05,37,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,urgency_semantic_score,semantic_scores,impurity_importance,4.628e-05,37,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,views_delta,engagement_context,permutation_importance_mean,1.7838982,1,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,views_delta,engagement_context,permutation_importance_std,0.03010026,1,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,views_delta,engagement_context,impurity_importance,0.97085791,1,positive,secondary
videos,future_log_views_delta_7d,random_forest_regressor,warning_semantic_score,semantic_scores,permutation_importance_mean,3.196e-05,29,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,warning_semantic_score,semantic_scores,permutation_importance_std,1.145e-05,29,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,warning_semantic_score,semantic_scores,impurity_importance,0.00016209,29,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__ai,title_style,permutation_importance_mean,-4.251e-05,21,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__ai,title_style,permutation_importance_std,2.221e-05,21,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__ai,title_style,impurity_importance,8.537e-05,21,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__curiosity,title_style,permutation_importance_mean,3.889e-05,24,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__curiosity,title_style,permutation_importance_std,5.906e-05,24,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__curiosity,title_style,impurity_importance,0.00020276,24,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__finance,title_style,permutation_importance_mean,5e-08,59,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__finance,title_style,permutation_importance_std,1.05e-06,59,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__finance,title_style,impurity_importance,8.16e-06,59,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__news,title_style,permutation_importance_mean,8e-08,58,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__news,title_style,permutation_importance_std,5.81e-06,58,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__news,title_style,impurity_importance,3.261e-05,58,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__promise,title_style,permutation_importance_mean,-1.083e-05,39,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__promise,title_style,permutation_importance_std,2.34e-06,39,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__promise,title_style,impurity_importance,4.928e-05,39,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__tutorial,title_style,permutation_importance_mean,-3.7e-07,55,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__tutorial,title_style,permutation_importance_std,1.06e-06,55,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__tutorial,title_style,impurity_importance,5.05e-06,55,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__unknown,title_style,permutation_importance_mean,6.762e-05,16,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__unknown,title_style,permutation_importance_std,5.224e-05,16,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__unknown,title_style,impurity_importance,0.00012877,16,positive,secondary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__warning,title_style,permutation_importance_mean,3.425e-05,28,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__warning,title_style,permutation_importance_std,3.1e-05,28,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__warning,title_style,impurity_importance,0.00012381,28,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__de_de_mayo_mayo,semantic_cluster,permutation_importance_mean,0.0,61,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__de_de_mayo_mayo,semantic_cluster,permutation_importance_std,0.0,61,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__de_de_mayo_mayo,semantic_cluster,impurity_importance,0.0,61,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__de_en_el,semantic_cluster,permutation_importance_mean,4.703e-05,20,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__de_en_el,semantic_cluster,permutation_importance_std,1.681e-05,20,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__de_en_el,semantic_cluster,impurity_importance,7.183e-05,20,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__in_the_xi,semantic_cluster,permutation_importance_mean,-0.00010376,14,mixed,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__in_the_xi,semantic_cluster,permutation_importance_std,8.101e-05,14,mixed,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__in_the_xi,semantic_cluster,impurity_importance,0.00018631,14,mixed,secondary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__la_de_de_la,semantic_cluster,permutation_importance_mean,-7.87e-06,42,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__la_de_de_la,semantic_cluster,permutation_importance_std,1.519e-05,42,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__la_de_de_la,semantic_cluster,impurity_importance,3.824e-05,42,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__the_of_is,semantic_cluster,permutation_importance_mean,-5.421e-05,19,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__the_of_is,semantic_cluster,permutation_importance_std,8.71e-06,19,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__the_of_is,semantic_cluster,impurity_importance,0.00011667,19,positive,secondary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__to_iran_trump,semantic_cluster,permutation_importance_mean,7.93e-06,41,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__to_iran_trump,semantic_cluster,permutation_importance_std,3.25e-06,41,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__to_iran_trump,semantic_cluster,impurity_importance,4.29e-05,41,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__ai_tools,topic_metrics,permutation_importance_mean,-6.55e-06,44,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__ai_tools,topic_metrics,permutation_importance_std,1.646e-05,44,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__ai_tools,topic_metrics,impurity_importance,7.238e-05,44,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__finance_personal,topic_metrics,permutation_importance_mean,-1.49e-06,51,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__finance_personal,topic_metrics,permutation_importance_std,3.06e-06,51,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__finance_personal,topic_metrics,impurity_importance,1.431e-05,51,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__news_trends,topic_metrics,permutation_importance_mean,-3.4e-07,56,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__news_trends,topic_metrics,permutation_importance_std,2.12e-06,56,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__news_trends,topic_metrics,impurity_importance,8.13e-06,56,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__productivity,topic_metrics,permutation_importance_mean,3.566e-05,26,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__productivity,topic_metrics,permutation_importance_std,3.921e-05,26,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__productivity,topic_metrics,impurity_importance,0.00011114,26,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__tutorial,topic_metrics,permutation_importance_mean,3.3e-07,57,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__tutorial,topic_metrics,permutation_importance_std,4e-08,57,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__tutorial,topic_metrics,impurity_importance,4.59e-06,57,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__unknown,topic_metrics,permutation_importance_mean,-5.17e-06,45,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__unknown,topic_metrics,permutation_importance_std,5.23e-06,45,positive,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_primary__unknown,topic_metrics,impurity_importance,3.416e-05,45,positive,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__ai_tools,topic_metrics,permutation_importance_mean,0.00012278,12,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__ai_tools,topic_metrics,permutation_importance_std,3.298e-05,12,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__ai_tools,topic_metrics,impurity_importance,0.00010303,12,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__finance_personal,topic_metrics,permutation_importance_mean,1.79e-06,50,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__finance_personal,topic_metrics,permutation_importance_std,3.53e-06,50,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__finance_personal,topic_metrics,impurity_importance,1.109e-05,50,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__news_trends,topic_metrics,permutation_importance_mean,0.0,62,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__news_trends,topic_metrics,permutation_importance_std,0.0,62,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__news_trends,topic_metrics,impurity_importance,0.0,62,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__tutorial,topic_metrics,permutation_importance_mean,0.0,63,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__tutorial,topic_metrics,permutation_importance_std,0.0,63,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__tutorial,topic_metrics,impurity_importance,1.626e-05,63,negative,secondary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__unknown,topic_metrics,permutation_importance_mean,1.99e-06,49,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__unknown,topic_metrics,permutation_importance_std,3.97e-06,49,negative,primary
videos,future_log_views_delta_7d,random_forest_regressor,topic_secondary__unknown,topic_metrics,impurity_importance,2.621e-05,49,negative,secondary
videos,future_log_views_delta_7d,linear_regularized_regressor,ai_semantic_score,semantic_scores,standardized_coefficient,-0.07592765,41,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,alpha_score,engagement_context,standardized_coefficient,1.29590097,4,positive,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,channel_momentum_score,channel_context,standardized_coefficient,-0.11496972,33,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,channel_relative_success_score,channel_context,standardized_coefficient,-0.78430521,7,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,curiosity_semantic_score,semantic_scores,standardized_coefficient,-0.06760839,44,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,decision_score,model_decision,standardized_coefficient,-1.11597992,5,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,description_length_chars,engagement_context,standardized_coefficient,-0.15352921,23,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,description_word_count,engagement_context,standardized_coefficient,0.1297805,30,positive,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,engagement_rate,engagement_context,standardized_coefficient,-0.14806064,26,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,evergreen_score,engagement_context,standardized_coefficient,0.00965003,56,positive,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,finance_semantic_score,semantic_scores,standardized_coefficient,-0.04773264,47,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,has_ai_word,engagement_context,standardized_coefficient,-0.03479597,49,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,has_finance_word,engagement_context,standardized_coefficient,0.13870256,28,positive,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,has_number,engagement_context,standardized_coefficient,-0.00589494,59,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,has_question,engagement_context,standardized_coefficient,-1.51772871,1,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,hybrid_decision_score,model_decision,standardized_coefficient,0.99166813,6,positive,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,metadata_changed,metadata,standardized_coefficient,0.01324772,55,positive,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,metric_confidence_score,engagement_context,standardized_coefficient,0.30180105,14,positive,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,news_semantic_score,semantic_scores,standardized_coefficient,-0.20673482,19,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,opportunity_score,engagement_context,standardized_coefficient,0.4760538,10,positive,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,packaging_problem_score,engagement_context,standardized_coefficient,-0.17228684,20,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,productivity_semantic_score,semantic_scores,standardized_coefficient,-0.35786619,11,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,promise_semantic_score,semantic_scores,standardized_coefficient,-0.01892653,52,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,semantic_cluster_id,semantic_cluster,standardized_coefficient,0.07726925,39,positive,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,title_has_currency,title_style,standardized_coefficient,-0.00606039,57,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,title_has_number,title_style,standardized_coefficient,-0.00589494,58,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,title_has_question,title_style,standardized_coefficient,1.48301014,2,positive,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,title_has_year,title_style,standardized_coefficient,0.00103954,62,positive,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,title_length_chars,title_style,standardized_coefficient,-0.15352921,24,negative,primary
videos,future_log_views_delta_7d,linear_regularized_regressor,title_word_count,title_style,standardized_coefficient,0.1297805,29,positive,primary
